"Employee ID","First and Last Name","Employee Email","Grad Date","Cost Center","Role Type","Site Location","Manager Contact","Manager Email","Mentor Contact","Mentor Email","Program Status","Work Auth Status","Leave Status","Start Date","Stage","Stage 2 Promo Date","Stage 3 Promo Date","Hiring Meeting Date","Hiring Meeting Outcome","FTE Offer Status","Exit Date","Contact Card","University","L8","PIP Status"
"100234567","Aiden Brooks","abrooks@amazon.com","5/15/25","4821","Jr. SDE","SEA22","Marcus Johnson","mjohnson@amazon.com","Priya Nair","pnair@amazon.com","Active","Authorized","Not on leave","5/15/23","Stage 2","6/16/24",,"3/15/25","Inclined","Pending",,"Aiden Brooks","University of Washington","Sandra Lee",
"100234568","Sofia Martinez","smartinez@amazon.com","9/21/25","4821","Jr. DS","SEA24","Marcus Johnson","mjohnson@amazon.com","David Kim","dkim@amazon.com","Active","Authorized","Not on leave","9/21/23","Stage 2","10/13/24",,"6/28/25","Inclined","Accepted",,"Sofia Martinez","UCLA","Sandra Lee",
"100234569","Ethan Nguyen","anguyen@amazon.com","1/6/24","3305","Jr. SDE","SAN13","Rachel Torres","rtorres@amazon.com","James Wu","jwu@amazon.com","Active","Authorized","Not on leave","1/6/22","Stage 1",,,,,"Not Extended",,"Ethan Nguyen","UC San Diego","Kevin Park",
"100234570","Olivia Chen","ochen@amazon.com","6/15/26","3305","Jr. BIE","SEA26","Rachel Torres","rtorres@amazon.com","Fatima Hassan","fhassan@amazon.com","Active","Authorized","Not on leave","6/15/24","Stage 2","8/29/25",,"4/19/26","Inclined","Pending",,"Olivia Chen","Stanford University","Kevin Park",
"100234571","Liam Patel","lpatel@amazon.com","9/21/26","5512","Jr. AS","ATL11","Brian Scott","bscott@amazon.com","Angela White","awhite@amazon.com","Active","Authorized","Not on leave","9/21/24","Stage 1",,,,,"Not Extended",,"Liam Patel","Georgia Tech","Diane Foster",
"100234572","Emma Wilson","ewilson@amazon.com","9/21/24","5512","Jr. AA","AUS13","Brian Scott","bscott@amazon.com","Carlos Rivera","crivera@amazon.com","PIP","Authorized","Not on leave","9/21/22","Stage 2","8/16/23",,"7/23/24","Not Inclined","Not Extended",,"Emma Wilson","UT Austin","Diane Foster","In Progress"
"100234573","Noah Davis","ndavis@amazon.com","1/6/26","6630","Jr. SDE","PHX11","Lisa Nguyen","lnguyen@amazon.com","Robert Chang","rchang@amazon.com","Active","Authorized","Not on leave","1/6/24","Stage 3","7/21/24","2/5/25","10/7/25","Inclined","Accepted",,"Noah Davis","Arizona State University","Thomas Reed",
"100234574","Ava Thompson","athompson@amazon.com","1/6/26","6630","Jr. DS","DTW10","Lisa Nguyen","lnguyen@amazon.com","Michelle Park","mpark@amazon.com","Active","Authorized","Not on leave","1/6/24","Stage 3","9/23/24","6/9/25","11/13/25","Inclined","Accepted",,"Ava Thompson","University of Michigan","Thomas Reed",
"100234575","Mason Lee","mlee@amazon.com","5/15/24","7741","Jr. BIE","JFK27","Daniel Harris","dharris@amazon.com","Samantha Cruz","scruz@amazon.com","Inactive","Authorized","Not on leave","5/15/22","Stage 1",,,,,"Not Extended","2/28/26","Mason Lee","NYU","Patricia Gomez",
"100234576","Isabella Clark","iclark@amazon.com","9/21/25","7741","Jr. SDE","WAS19","Daniel Harris","dharris@amazon.com","Kevin Brown","kbrown@amazon.com","Active","Authorized","Not on leave","9/21/23","Stage 2","8/24/24",,"7/27/25","Inclined","Pending",,"Isabella Clark","Georgetown University","Patricia Gomez",
"100234577","James Robinson","jrobinson@amazon.com","6/15/25","8852","Jr. AS","SJC13","Amy Chen","achen@amazon.com","Victor Morales","vmorales@amazon.com","Active","Authorized","Not on leave","6/15/23","Stage 2","6/16/24",,"3/22/25","Inclined","Accepted",,"James Robinson","UC Berkeley","Natalie Wong",
"100234578","Charlotte Lewis","clewis@amazon.com","5/15/24","8852","Jr. AA","SBA11","Amy Chen","achen@amazon.com","Tina Patel","tpatel@amazon.com","Active","Authorized","On leave","5/15/22","Stage 1",,,,,"Not Extended",,"Charlotte Lewis","UCSB","Natalie Wong",
"100234579","Benjamin Walker","bwalker@amazon.com","5/15/24","2214","Jr. DS","SBP1","Eric Johnson","ejohnson@amazon.com","Laura Kim","lkim@amazon.com","Active","Authorized","Not on leave","5/15/22","Stage 2","1/21/23",,"2/23/24","Inclined","Pending",,"Benjamin Walker","Cal Poly SLO","Michael Torres",
"100234580","Mia Hall","mhall@amazon.com","1/6/24","2214","Jr. SDE","SBP10","Eric Johnson","ejohnson@amazon.com","Derek Nguyen","dnguyen@amazon.com","Active","Authorized","Not on leave","1/6/22","Stage 1",,,,,"Not Extended",,"Mia Hall","Cal Poly SLO","Michael Torres",
"100234581","Alexander Young","ayoung@amazon.com","9/21/26","9963","Jr. BIE","SBP12","Stephanie Adams","sadams@amazon.com","Grace Liu","gliu@amazon.com","Active","Authorized","Not on leave","9/21/24","Stage 2","9/7/25",,"7/26/26","Inclined","Accepted",,"Alexander Young","USC","Jennifer Hall",
"100234582","Harper Scott","hscott@amazon.com","5/15/25","9963","Jr. AS","MAD12","Stephanie Adams","sadams@amazon.com","Omar Hassan","ohassan@amazon.com","PIP","Authorized","Not on leave","5/15/23","Stage 2","7/5/24",,"2/25/25","Not Inclined","Not Extended",,"Harper Scott","IE University","Jennifer Hall","In Progress"
"100234583","Elijah Turner","eturner@amazon.com","6/15/25","1123","Jr. SDE","MAD15","Chris Martin","cmartin@amazon.com","Yuki Tanaka","ytanaka@amazon.com","Active","Authorized","Not on leave","6/15/23","Stage 3","3/13/24","10/18/24","3/19/25","Inclined","Accepted",,"Elijah Turner","IE University","Robert Diaz",
"100234584","Amelia White","awhite2@amazon.com","9/21/25","1123","Jr. DS","MRY11","Chris Martin","cmartin@amazon.com","Brenda Flores","bflores@amazon.com","Active","Authorized","Not on leave","9/21/23","Stage 2","11/29/24",,"7/31/25","Inclined","Pending",,"Amelia White","UC Merced","Robert Diaz",
"100234585","Lucas Harris","lharris@amazon.com","1/6/25","3347","Jr. AA","PDZ17","Monica Bell","mbell@amazon.com","Steven Park","spark@amazon.com","Active","Authorized","Not on leave","1/6/23","Stage 1",,,,,"Not Extended",,"Lucas Harris","Arizona State University","Christine Yoo",
"100234586","Evelyn Jackson","ejackson@amazon.com","6/15/25","3347","Jr. BIE","SEA76","Monica Bell","mbell@amazon.com","Alicia Reyes","areyes@amazon.com","Active","Authorized","Not on leave","6/15/23","Stage 2","1/3/24",,"4/17/25","Inclined","Accepted",,"Evelyn Jackson","University of Washington","Christine Yoo",
"100234587","Henry Martinez","hmartinez@amazon.com","9/21/24","4458","Jr. SDE","SEA94","Paul Wright","pwright@amazon.com","Nadia Okafor","nokafor@amazon.com","Active","Authorized","Not on leave","9/21/22","Stage 2","8/13/23",,"6/24/24","Inclined","Pending",,"Henry Martinez","University of Washington","Laura Simmons",
"100234588","Abigail Robinson","arobinson@amazon.com","6/15/25","4458","Jr. AS","YVR26","Paul Wright","pwright@amazon.com","Jason Lee","jlee@amazon.com","Active","Authorized","Not on leave","6/15/23","Stage 1",,,,,"Not Extended",,"Abigail Robinson","UBC","Laura Simmons",
"100234589","Michael Anderson","manderson@amazon.com","5/15/25","5569","Jr. DS","YYJ1","Karen Thompson","kthompson@amazon.com","Diana Chen","dchen@amazon.com","Active","Authorized","Not on leave","5/15/23","Stage 3","8/8/24","11/3/24","2/26/25","Inclined","Accepted",,"Michael Anderson","University of Victoria","Andrew Kim",
"100234590","Emily Thomas","ethomas@amazon.com","9/21/24","5569","Jr. BIE","SEA22","Karen Thompson","kthompson@amazon.com","Felix Huang","fhuang@amazon.com","Inactive","Unauthorized","Not on leave","9/21/22","Stage 1",,,,,"Not Extended","3/1/26","Emily Thomas","University of Washington","Andrew Kim",
"100234591","Daniel Garcia","dgarcia@amazon.com","5/15/25","6670","Jr. SDE","SEA24","Nathan Rivera","nrivera@amazon.com","Chloe Adams","cadams@amazon.com","Active","Authorized","Not on leave","5/15/23","Stage 2","2/22/24",,"2/16/25","Inclined","Pending",,"Daniel Garcia","University of Washington","Melissa Grant",
"100234592","Madison Lewis","mlewis@amazon.com","9/21/26","6670","Jr. AA","SEA26","Nathan Rivera","nrivera@amazon.com","Patrick Nguyen","pnguyen@amazon.com","Active","Authorized","Not on leave","9/21/24","Stage 2","5/25/25",,"6/24/26","Inclined","Accepted",,"Madison Lewis","University of Washington","Melissa Grant",
"100234593","Jackson Moore","jmoore@amazon.com","6/15/25","7781","Jr. AS","ATL11","Sandra Kim","skim@amazon.com","Rachel Green","rgreen@amazon.com","PIP","Authorized","Not on leave","6/15/23","Stage 2","5/24/24",,"3/17/25","Not Inclined","Not Extended",,"Jackson Moore","Georgia Tech","William Foster","Successfully Completed"
